Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Butternaan,300,50,7,10,2,2,15,50,"Combining with a protein source makes this a more complete and satisfying meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Cupcake,200,30,2,8,20,0.5,20,20,Consume sparingly; high sugar content may spike blood glucose levels. | A great option during festive occasions — just keep portions in check.
Donuts,250,30,3,12,10,1,20,20,Ideal when combined with seasonal vegetables for a wholesome meal. | Include in your weekly rotation to diversify your nutritional intake.
French Fries,312,41,3.4,15,0.3,3.8,0,20,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Moderate fat content — suitable for active individuals with higher energy demands."
Garlic Bread,200,25,4,10,1,1,10,30,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Grilled Cheese Sandwich,400,30,12,25,2,2,50,200,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Fresh preparation retains the most nutrients; avoid overcooking.
Hot Dog,290,24,10,18,4,1,30,20,Include in your weekly rotation to diversify your nutritional intake. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Ice Cream,207,24,3.5,11,21,0.5,44,100,A good addition for elderly individuals to maintain healthy bone density. | Consume sparingly; high sugar content may spike blood glucose levels.
Lobster Roll Sandwich,450,30,20,25,3,2,80,60,Consider halving portion size if watching total caloric consumption. | Rich in fats — consume mindfully and balance with active movement during the day.
Onion Rings,275,31,3,15,5,2,0,30,Works well as a side dish or main course depending on your daily energy needs. | Fresh preparation retains the most nutrients; avoid overcooking.
Red Velvet Cake,293,37.45,5.45,13.74,13.89,1.2,43,85,Consider halving portion size if watching total caloric consumption. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Strawberry Shortcake,250,35,3,12,15,1,30,50,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Vada Pav,304,40.17,9.17,11.92,9.42,3.8,0,71,Fresh preparation retains the most nutrients; avoid overcooking. | Consider halving portion size if watching total caloric consumption.
Waffles,220,20,13,11,5,3,30,100,A great option during festive occasions — just keep portions in check. | Ideal when combined with seasonal vegetables for a wholesome meal.
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0,0,14.2,Light on the digestive system; suitable for those recovering from illness. | Fresh preparation retains the most nutrients; avoid overcooking.
Instant coffee,23.16,3.65,0.64,0.75,3.62,0,0,20.87,A great option during festive occasions — just keep portions in check. | A smart low-calorie option — ideal for weight management plans.
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0,0,58.1,Fresh preparation retains the most nutrients; avoid overcooking. | Combining with a protein source makes this a more complete and satisfying meal.
Iced tea,10.34,2.7,0.03,0.01,2.7,0,0,1.18,Include in evening meals for light yet satisfying nourishment. | Works well as a side dish or main course depending on your daily energy needs.
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,0,7.08,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,0,5.07,Light on the digestive system; suitable for those recovering from illness. | Include in evening meals for light yet satisfying nourishment.
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,0,3.3,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Fresh preparation retains the most nutrients; avoid overcooking.
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,0,1.84,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be eaten generously without fear of calorie overload; great as a snack."
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,0,2.2,Can be eaten generously without fear of calorie overload; great as a snack. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,0,10.84,"Can be eaten generously without fear of calorie overload; great as a snack. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Coco pine cooler,32.75,5.72,0.56,1,5.52,0.26,3.4,17.81,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,0,8.13,Consume in moderate portions and savour mindfully for maximum enjoyment. | Light on the digestive system; suitable for those recovering from illness.
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0,0,113.66,Fresh preparation retains the most nutrients; avoid overcooking. | A smart low-calorie option — ideal for weight management plans.
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,0,62.64,A good addition for elderly individuals to maintain healthy bone density. | A great option during festive occasions — just keep portions in check.
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,0,62.33,Works well as a side dish or main course depending on your daily energy needs. | Can be eaten generously without fear of calorie overload; great as a snack.
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0,0,59.92,Ideal when combined with seasonal vegetables for a wholesome meal. | Light on the digestive system; suitable for those recovering from illness.
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0,0,67.42,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Ideal when combined with seasonal vegetables for a wholesome meal.
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,60.3,102.13,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Works well as a side dish or main course depending on your daily energy needs.
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0,2.49,45.65,Can be eaten generously without fear of calorie overload; great as a snack. | A smart low-calorie option — ideal for weight management plans.
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,2.6,47.78,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,23.05,113.79,Combining with a protein source makes this a more complete and satisfying meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,121.63,110.13,Consider halving portion size if watching total caloric consumption. | Those with cardiovascular conditions should limit intake to once or twice a week.
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8,1.64,2.45,17.53,87.84,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load."
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,34.35,199.73,Pair with a glass of water or herbal tea for optimal digestive comfort. | Fresh preparation retains the most nutrients; avoid overcooking.
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.2,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Excellent for bone and dental health — especially beneficial for growing children.
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,42.06,89.56,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,"A good addition for elderly individuals to maintain healthy bone density. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,31.16,172.04,Consider halving portion size if watching total caloric consumption. | A good addition for elderly individuals to maintain healthy bone density.
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,Pair with a glass of water or herbal tea for optimal digestive comfort. | Excellent for bone and dental health — especially beneficial for growing children.
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,Ideal when combined with seasonal vegetables for a wholesome meal. | Include in your weekly rotation to diversify your nutritional intake.
Pin wheel sandwich,311.52,14,8.77,24.93,1.45,0.93,179.52,67.75,Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health. | A great option during festive occasions — just keep portions in check.
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,21.05,118.05,A good addition for elderly individuals to maintain healthy bone density. | Works well as a side dish or main course depending on your daily energy needs.
Salami sandwich,255.59,21.54,8.7,15.51,2,1.97,33.35,73.54,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A great option during festive occasions — just keep portions in check."
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,21.87,79.53,A good addition for elderly individuals to maintain healthy bone density. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,95.63,95.71,Add a side of leafy greens to boost micronutrient absorption. | Works well as a side dish or main course depending on your daily energy needs.
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,18.05,85.18,Ideal when combined with seasonal vegetables for a wholesome meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,35.12,172.35,Include in your weekly rotation to diversify your nutritional intake. | Add a side of leafy greens to boost micronutrient absorption.
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,35.12,169.22,Moderate fat content — suitable for active individuals with higher energy demands. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,0,64.15,Consume in moderate portions and savour mindfully for maximum enjoyment. | Include in your weekly rotation to diversify your nutritional intake.
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,0,274.1,Fresh preparation retains the most nutrients; avoid overcooking. | Consume in moderate portions and savour mindfully for maximum enjoyment.
